"entity","type","direction","source","notes","date"
"14.188.150.86","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"189.219.165.131","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"39.36.166.172","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"62.4.1.210","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"203.174.47.198","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host;Scanning Host","2017-03-21"
"117.195.142.230","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"14.177.58.55","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"114.34.134.73","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"59.16.62.26","","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host;Scanning Host","2017-03-24"
"101.50.99.248","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"14.176.134.76","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"113.162.191.92","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"79.169.7.30","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"50.235.31.47","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"88.249.186.184","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-15"
"123.21.130.85","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"116.96.240.41","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"179.234.93.150","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"14.181.102.147","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-13"
"81.215.90.202","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-14"
"86.105.182.6","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"78.167.134.31","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
